Dataset,Source,Target,Test Accuracy,std
ImageCLEFBaseline,I,P,36.333333333333336,31.31232452392578
ImageCLEFBaseline,I,C,48.0,33.518348693847656
ImageCLEFBaseline,P,I,37.833333333333336,28.249412536621094
ImageCLEFBaseline,P,C,37.166666666666664,27.948835372924805
ImageCLEFBaseline,C,I,43.5,27.5214900970459
ImageCLEFBaseline,C,P,36.5,26.616647720336914
ImageCLEFDANN,I,P,65.55555555555556,20.266921997070312
ImageCLEFDANN,I,C,82.22222222222223,12.309148788452148
ImageCLEFDANN,P,I,75.55555555555556,16.713947296142578
ImageCLEFDANN,P,C,82.22222222222223,14.433756828308105
ImageCLEFDANN,C,I,81.11111111111111,12.452561378479004
ImageCLEFDANN,C,P,63.333333333333336,19.943099975585938
ImageCLEFADDA,I,P,60.0,23.836565017700195
ImageCLEFADDA,I,C,81.11111111111111,16.392152786254883
ImageCLEFADDA,P,I,75.55555555555556,16.713947296142578
ImageCLEFADDA,P,C,80.0,17.27123260498047
ImageCLEFADDA,C,I,68.88888888888889,15.501404762268066
ImageCLEFADDA,C,P,56.666666666666664,16.428218841552734
ImageCLEFCDAN,I,P,60.0,21.40319061279297
ImageCLEFCDAN,I,C,64.44444444444444,20.956077575683594
ImageCLEFCDAN,P,I,67.77777777777777,18.04219627380371
ImageCLEFCDAN,P,C,68.88888888888889,20.266921997070312
ImageCLEFCDAN,C,I,67.77777777777777,15.501404762268066
ImageCLEFCDAN,C,P,58.888888888888886,17.133609771728516
ImageCLEFCREDA,I,P,70.0,20.728904724121094
ImageCLEFCREDA,I,C,84.44444444444444,12.87321662902832
ImageCLEFCREDA,P,I,81.11111111111111,15.501404762268066
ImageCLEFCREDA,P,C,78.88888888888889,15.84130573272705
ImageCLEFCREDA,C,I,77.77777777777777,14.433756828308105
ImageCLEFCREDA,C,P,66.66666666666667,16.1007137298584
